"","TLML_22_cfDNA_baseline_2014_12","TLML_22_cfDNA_4W_2015_1","TLML_22_DNA_baseline_2014_12","TLML_22_DNA_infusion_2014_9","TLML_22_DNA_4W_2015_1","TLML_22_DNA_FU_01_2015_2","TLML_22_DNA_FU_02_2015_3","TLML_22_DNA_FU_03_2015_4","TLML_22_RNA_infusion_2014_9","TLML_22_RNA_4W_2015_1","TLML_22_RNA_FU_01_2015_2","TLML_22_RNA_FU_02_2015_3","TLML_22_RNA_FU_03_2015_4","TLML_26_cfDNA_baseline_2015_1","TLML_26_cfDNA_4W_2015_3","TLML_26_DNA_baseline_2014_11","TLML_26_DNA_infusion_2014_6","TLML_26_DNA_4W_2015_3","TLML_26_DNA_FU_01_2015_7","TLML_26_DNA_FU_02_2015_9","TLML_26_RNA_baseline_2015_1","TLML_26_RNA_4W_2015_3","TLML_29_cfDNA_baseline_2016_1","TLML_29_cfDNA_4W_2016_2","TLML_29_DNA_baseline_2016_1","TLML_29_DNA_infusion_2015_10","TLML_29_DNA_4W_2016_2","TLML_29_RNA_baseline_2016_1","TLML_29_RNA_infusion_2015_10","TLML_29_RNA_4W_2016_2","TLML_1_DNA_baseline_2013_9","TLML_1_DNA_infusion_2013_8","TLML_1_DNA_FU_01_2014_1","TLML_1_DNA_FU_02_2014_4","TLML_1_DNA_FU_03_2014_7","TLML_1_RNA_4W_2013_11","TLML_1_RNA_FU_07_2015_2","TLML_1_RNA_FU_10_2015_6","TLML_1_RNA_FU_12_2015_10","TLML_1_RNA_FU_13_2015_11","TLML_1_RNA_FU_16_2016_6","TLML_16_cfDNA_baseline_2015_1","TLML_16_cfDNA_4W_2015_2","TLML_16_DNA_baseline_2015_1","TLML_16_DNA_infusion_2014_4","TLML_16_DNA_4W_2015_2","TLML_16_DNA_FU_01_2015_3","TLML_16_DNA_FU_02_2015_5","TLML_16_DNA_FU_03_2015_6","TLML_16_DNA_FU_04_2015_7","TLML_16_DNA_FU_05_2015_9","TLML_16_RNA_baseline_2015_1","TLML_16_RNA_infusion_2014_4","TLML_16_RNA_FU_01_2015_3","TLML_16_RNA_FU_02_2015_5","TLML_16_RNA_FU_03_2015_6","TLML_16_RNA_FU_04_2015_7","TLML_16_RNA_FU_05_2015_9","TLML_7_DNA_baseline_2014_3","TLML_7_DNA_infusion_2014_2","TLML_7_DNA_4W_2014_4","TLML_7_DNA_12W_2014_6","TLML_7_DNA_17W_2014_7","TLML_7_RNA_baseline_2014_3","TLML_7_RNA_infusion_2014_2","TLML_7_RNA_4W_2014_4","TLML_7_RNA_12W_2014_6","TLML_20_cfDNA_baseline_2015_1","TLML_20_cfDNA_4W_2015_2","TLML_20_DNA_baseline_2015_1","TLML_20_DNA_infusion_2014_7","TLML_20_DNA_4W_2015_2","TLML_20_DNA_FU_01_2015_3","TLML_20_DNA_FU_02_2015_6","TLML_20_RNA_baseline_2015_1","TLML_20_RNA_infusion_2014_7","TLML_20_RNA_4W_2015_2","TLML_20_RNA_FU_01_2015_3","TLML_20_RNA_FU_02_2015_6","TLML_4_cfDNA_baseline_2015_10","TLML_4_cfDNA_4W_2014_12","TLML_4_DNA_baseline_2014_11","TLML_4_DNA_infusion_2013_11","TLML_4_DNA_4W_2014_12","TLML_4_DNA_FU_01_2015_1","TLML_4_RNA_baseline_2015_10","TLML_4_RNA_infusion_2013_11","TLML_4_RNA_4W_2014_12","TLML_4_RNA_FU_01_2015_1","TLML_18_DNA_baseline_2014_8","TLML_18_DNA_infusion_2014_6","TLML_18_DNA_4W_2014_9","TLML_18_RNA_baseline_2014_8","TLML_18_RNA_infusion_2014_6","TLML_18_RNA_4W_2014_9"
"TLML_22_cfDNA_baseline_2014_12",1,0.0023002905597309,0.0293214199544293,0.075395665640456,0.00300851880404059,4.86146338810722e-05,0.000189791606351662,0.000388137440050072,0.109759730494335,0.00206487853041484,0.00122548238178946,0.000569826331190172,0.000385782900022746,0.283518423243846,0.282371855222271,0.00902785698807088,0.00780670581793884,0.00761067814486964,0.00425140756338853,0.0123758724007037,0.00169094947536128,0.00764914201540371,0.307571788338932,0.333505667721951,0.0407491088313747,0.000823299283962814,0.00880238160857606,0.00388204144665423,0.000355813787062813,0.000252715722834758,0.00663211661996017,0.000729902618051048,0.00786699653178601,0.00400252906104013,0.00840298031690114,0.00023061761245922,0.000324769425457238,0.000524674041194217,0.000697529805148635,0.000301385828240966,0.000591473553438413,0.305904872723094,0.204932006645206,0.0152973646671375,0.00168051574469022,0.0150946568133927,0.00384581838772051,0.0113811505167418,0.0153659240242739,0.0291762246095972,0.0517436702583418,0.000195987576973389,0.00193331683213379,0.000268063469200437,0.000786825777038509,0.00128867508239529,0.000779927464111288,0.000928508171786085,0.0158248880314195,0.0178226250102359,0.00583955809037613,0.0193952836563846,0.250682062557753,0.000547285015963571,0.000525519092415586,5.05862075580487e-05,5.78665168308217e-05,0.239956756366119,0.0435542959402316,0.0215664994993439,0.00184364607649658,0.00287510838073341,0.00790939776663767,0.010876901763775,0.000558131665847991,0.000669749065237249,0.000983010102443539,0.000606569548357638,0.000194369972558854,0.271430853380206,0.0368910622540528,0.0526410014249442,0.00251464716488073,0.0047206043698178,0.00301134253989513,0.00020393700546554,0.000793801108259263,0.000326445819076575,0.000719808366749315,0.0560506911197593,0.00484450969266741,0.0405552256808512,0.00227371984021449,0.00191267814292823,0.000971718889517535
"TLML_22_cfDNA_4W_2015_1",0.0023002905597309,1,3.56188981789962e-06,0.00467396343992808,0.921725972783337,0.919848730499698,0.922259258464003,0.902099232466424,0.00709274760658255,0.91978191192304,0.906492561879551,0.903873566472717,0.892076989865025,0.0109086391365902,0.0121118469244877,0.00205963157288849,0.00205384068017229,0.00179296919137449,0.000943367763366069,0.00208192146393795,0.000551101356613276,0.00209244584067687,0.00813061957165596,0.0105346568422705,0.00870787613097265,0.000240056974762722,0.00216694431005155,8.8927724026758e-06,9.68981280805369e-05,6.62725527352285e-05,0.00144898840969629,0.000165839664477869,0.00183314762336638,0.00106878147679798,0.001806731692462,7.35880093103826e-05,8.52240587133443e-05,0.000166380121176737,0.00806650136092056,9.75548915614275e-05,0.000191431028607901,0.00709022070586197,0.00600868684166757,0.00425284931367357,0.000425737392681346,0.00215384435721293,0.000702618329879659,0.00188764317518202,0.00261718883975265,0.0056505627813226,0.00885393066046832,6.47559069833169e-05,0.000485684655886823,7.96032624168574e-05,0.000227150100155009,0.000371544122258014,0.000162860439766838,0.000287119687382319,0.00461777135635313,0.00492437075308887,0.00167020063615968,0.00505078813073928,0.0120425966618167,0.000172660404407064,0.000169990840949735,1.64152894261684e-05,2.06148646981015e-05,0.00590716092185939,0.00581739757664351,0.00575787951523008,0.000387726381377885,0.000736283291018051,0.002029508123609,0.00270326246485622,0.000185443226166932,0.000190393866743216,0.000272639461509491,0.000139492828364974,6.92907945152183e-05,0.00705650138547743,0.00484470594888289,0.00821194612769173,0.000728127339163392,0.00111411599947567,0.000505048084320342,6.65257652759697e-05,0.000241337379832005,9.66782767922391e-05,0.000142538648982077,0.0114416670948216,0.000976848763320589,0.00642425370797186,0.000737746305721205,0.000458022681749372,0.00028308608716546
"TLML_22_DNA_baseline_2014_12",0.0293214199544293,3.56188981789962e-06,1,0.000701236955657607,0.000426613463145233,0.000940461195261525,0.000419944309718704,0.000346909282310872,0.000204813298102078,0.00229657777233015,0.00272241444726177,0.00131450885032393,0.000955050693132564,0.0412935286147584,0.0466536093335315,0.0159456075389991,0.0177797762017745,0.014209947878345,0.00717829337524814,0.0132187449656753,0.00584072406561637,0.0187711547176529,0.0292022412194832,0.0385753293007374,0.0705518493511227,0.00230397546076696,0.0177444984735467,0.0131744511894948,0.00106906614841925,0.000844006106256672,0.0108684224880075,0.00128857980693412,0.0144048848569816,0.00941836048378429,0.0133911389735781,0.000772890089233147,0.00112436402354854,0.00173846159435982,0.00216811339094336,0.00102922353072706,0.00200899897315818,0.0251031004001113,0.0220740767647354,0.0382330562656976,0.0035986687899019,0.0125467443956014,0.00470651025907915,0.0119002932977539,0.0166982816050268,0.0384578490249221,0.0553335221225311,0.000701297482737624,0.00407580847320328,0.00077849613927402,0.00215221352138151,0.00352497455130284,0.00238664092942071,0.00292225339593452,0.0433595080862079,0.0438037328389924,0.0156173387133475,0.0427299410673656,0.04750665906605,0.00187164272469779,0.00181663642882414,0.000176667862562116,0.000238120201144495,0.021004818414145,0.0324151913003348,0.0495902491007243,0.00483782041940115,0.00632408310174887,0.0172559521354787,0.0222990049510252,0.00203060082374042,0.00178405383984023,0.00249578904721978,0.00214006259977884,0.000791568497230706,0.0253777301816964,0.0268245432788406,0.0491458966864765,0.00739032467056513,0.0091795233953694,0.00510075395065535,0.000714869781860283,0.00251863700646927,0.000888207047645742,0.00161012984009078,0.085689517044759,0.00688413500804319,0.038839327307682,0.00793601288641987,0.00369097069959874,0.002708151803976
"TLML_22_DNA_infusion_2014_9",0.075395665640456,0.00467396343992808,0.000701236955657607,1,0.0199297678254723,0.00262862265422785,0.00368134566547663,0.00292722469722265,0.935306014122566,0.0061286315066067,0.00428128667576696,0.00173824214639655,0.000926592300931145,0.000293988732349192,0.000340212087724571,0.000330692751311195,0.000491664952209042,0.000312130588394097,0.000142080877672507,0.000184495596489029,0.000334471559038243,0.000571164149439886,0.000194662037881305,0.000264586210404692,0.00163835451786943,8.4087835516474e-05,0.000424436816723898,0.000482511132242652,4.39206151565827e-05,4.23585063254237e-05,0.000210635822438511,2.65003073432601e-05,0.000310418700846017,0.000269494624289172,0.000252575906758071,3.99607854522278e-05,5.33388733831551e-05,8.5959973959815e-05,0.000128174758395848,5.84934210896944e-05,0.000110209164797171,0.000164337822674349,0.000149561870431038,0.00122375196619857,9.12663437547876e-05,0.000151700317825033,7.16029710704338e-05,0.000163759753128023,0.000235914989932064,0.000632163730670476,0.000795406045153154,3.18128463399345e-05,0.000101403148904828,3.01257416456912e-05,7.73725253475624e-05,0.000124238904127731,7.08096767980397e-05,0.000130548697107718,0.00160415856483435,0.00138483748589249,0.000538444553574592,0.00116294144411788,0.000355865515948984,0.000104340336114973,9.76560990340573e-05,9.67688807939981e-06,5.80002567406192e-06,0.000139781870443246,0.000373923493669258,0.00143650810159752,0.000161995847197376,0.000164604696321528,0.000452019905539086,0.000421431430215789,9.35276097294071e-05,6.0285647761691e-05,7.86892528337697e-05,8.27074949738946e-05,6.8740228879978e-06,0.00016879259694739,0.000305969058055551,0.000642428422063427,0.000293256942805965,0.000216326320167709,0.000104478589973034,3.58136200424173e-05,0.000113967126299669,3.65647040996263e-05,4.43192977247474e-05,0.00165925637752279,0.000115458074737728,0.000515153584851552,0.00044249942627267,8.05807557604563e-05,9.11803045114263e-05
"TLML_22_DNA_4W_2015_1",0.00300851880404059,0.921725972783337,0.000426613463145233,0.0199297678254723,1,0.946878895340637,0.940537001935558,0.911018709604989,0.0304381091400027,0.925663308207082,0.911206525626689,0.883113120239506,0.863061372211337,0.00222917962036981,0.00256323272540563,0.00161845890107879,0.00209241139532939,0.00148964035219486,0.000711747324933571,0.00108154578080059,0.0009436824629443,0.00231068230149185,0.00150551856627914,0.00203010356504115,0.0071320390428473,0.00027754510575905,0.00194396024319212,0.000178247190987345,0.000129297212822685,0.000111097773829412,0.0010660747217635,0.000130219917560384,0.00148752254136208,0.00109685053674688,0.00129803860704065,0.000105931483486127,0.00014522492960798,0.00025638027878865,0.00661949709768099,0.000164869863554561,0.0003079161642228,0.00127766844206789,0.00114954061800002,0.00482592152399505,0.000405966003909404,0.00094256215395069,0.000403918737573064,0.000965517626844042,0.00138178724418338,0.00346701848083772,0.00463700081970701,9.97584720407105e-05,0.000454187395761912,0.000106593332808474,0.000284640897225077,0.000463870734342477,0.000231183211054402,0.00042603013090378,0.00586645674125045,0.00552559931212973,0.00203732754293532,0.00501318486853288,0.00265533832905345,0.000299630356230825,0.000285335107263023,2.7756257411765e-05,3.31959599674926e-05,0.00108321759124156,0.00218386073111364,0.00601417972752299,0.00042222131096577,0.000572685184935186,0.00196418099048675,0.00225349020940324,0.000312488013535114,0.000206545080283826,0.000229364199339796,0.000237470741892142,6.31418620621808e-05,0.00130570165370534,0.00196014604275904,0.00389146386552857,0.000908071196079834,0.000995273030512912,0.00044474540872775,0.000114158345849762,0.000343162773333658,0.000129428221192087,0.000167321705636399,0.00804325937281975,0.000632885096593449,0.00309818907000123,0.00126376098194809,0.000391162424344384,0.000355694062114443
"TLML_22_DNA_FU_01_2015_2",4.86146338810722e-05,0.919848730499698,0.000940461195261525,0.00262862265422785,0.946878895340637,1,0.97152803503544,0.940112635323136,0.00432376135826843,0.955933062432635,0.950327973920795,0.933896685277331,0.916500739618985,0.00183628835768961,0.00210558784576967,0.00119641349224698,0.0015008384389387,0.00109396061712604,0.000528129264275854,0.000832327809676742,0.000631797383146108,0.00164104054991793,0.00124702249246618,0.00167789324416041,0.0051290012048815,0.000214393102037651,0.00141538990316333,2.51007801540868e-05,9.28370160058145e-05,7.21748358608082e-05,0.000795332996827637,9.44483032108824e-05,0.00110322715978903,0.000804659078880608,0.000973195457543987,8.04298393007769e-05,9.66755785264143e-05,0.000177386776698581,0.00802157523800664,0.000110978237005132,0.000214881557845422,0.00105984492873206,0.000953869063470404,0.00343086114943508,0.000291892044987872,0.000736151535223516,0.00030794380896101,0.000744054365324747,0.00106213032597051,0.00262773216682801,0.00356693968609339,7.46459489982525e-05,0.000327431025410899,7.39296084940859e-05,0.000198937610386182,0.000324342298766793,0.000150611343964745,0.000290786670454741,0.00409252535988573,0.0039172997992413,0.00142851283745115,0.00361344790773046,0.00217760700614165,0.000199668410744924,0.00019134892063776,1.86433389382153e-05,2.37665495307306e-05,0.000897657560866403,0.00186734043667013,0.00429485681751158,0.000304667613258898,0.000515915548886594,0.00142716463901528,0.00179141816362302,0.000216393758771956,0.000161537039733113,0.000220588320013863,0.000157670795402651,7.72378291628285e-05,0.00108152602388071,0.00153624442434157,0.00300620654864844,0.000632448204491413,0.000722261046032901,0.000368060163805219,7.640573549578e-05,0.000235097788239108,8.9635736516758e-05,0.000131370341025139,0.00593727193678524,0.000478612386231813,0.00240043460937849,0.000845020160982397,0.000287000157162349,0.000249288656961843
"TLML_22_DNA_FU_02_2015_3",0.000189791606351662,0.922259258464003,0.000419944309718704,0.00368134566547663,0.940537001935558,0.97152803503544,1,0.953762771795926,0.00600674620462283,0.973567828942352,0.968678261781128,0.959968886538974,0.944472037716257,0.00118040765194865,0.00135799169779413,0.000918240368054264,0.0012152913304418,0.000849925358618147,0.00040315228326888,0.00059797474903507,0.000575719571270036,0.0013495971429486,0.000794316030693597,0.00107269764317484,0.00388871152681201,0.000181950798071332,0.00111584000164894,8.33038032186878e-06,7.96824165232609e-05,6.37815048669036e-05,0.000603900111299337,7.4119949747643e-05,0.000852667309930898,0.000654500302645625,0.000732797976149236,7.25602629131685e-05,8.70828057042064e-05,0.000159560911110923,0.00852870948955423,0.000101569715796159,0.000195534154552907,0.000673445051480879,0.000607143678506418,0.00281793927778083,0.000233201960478333,0.000516113253850325,0.000224661030107341,0.000533325426926158,0.000764041782113992,0.00193772280278234,0.00256729805400615,5.81164368147993e-05,0.000261479047750695,6.33482967228821e-05,0.000167657251445279,0.00027347500305695,0.000122809655925364,0.000255955394504771,0.00347721008897283,0.00323324385053047,0.00120155099289422,0.00290449684383358,0.00141016562822922,0.000180911535183161,0.000171468761188445,1.70364476449768e-05,2.15065739661962e-05,0.000571269293469646,0.00129740489478713,0.00350190376394405,0.000248993987520859,0.000410060157560622,0.00114108040190437,0.00141685902624279,0.000196049559563892,0.000135330818106571,0.000182480654587038,0.000137921652972599,6.85153204991492e-05,0.000688846832187266,0.00106544349842808,0.00212546037925893,0.000531801048644782,0.000561589167967504,0.000281300129559898,6.94142509018848e-05,0.000204063073564903,7.69955745812076e-05,0.000105950216238483,0.0044581283494977,0.000354204154845142,0.00170644222622548,0.000770482134371849,0.000223573191809607,0.000210817600330558
"TLML_22_DNA_FU_03_2015_4",0.000388137440050072,0.902099232466424,0.000346909282310872,0.00292722469722265,0.911018709604989,0.940112635323136,0.953762771795926,1,0.00482132051248943,0.950194905768812,0.94491291655159,0.940873971425162,0.955640082300001,0.00112346929189232,0.00129505588976978,0.000985756937598229,0.00134650612094282,0.000916182984051013,0.000429239552216564,0.000610845977258728,0.000707489732063264,0.0015202739847147,0.000751865494495502,0.00101758675310109,0.00425870428942314,0.00020977331897608,0.00121542461740495,5.05455213839657e-05,9.41895777397609e-05,7.81846591522581e-05,0.000637444415104573,7.91488882270744e-05,0.000915804556686861,0.000729340369250725,0.000774788466103767,8.77244313344088e-05,0.000108989501839021,0.000191619883047337,0.00807299295132572,0.000124456785655784,0.000237661161673173,0.000636528699583464,0.000575728087347912,0.00317247494187773,0.000256090210665006,0.000518816144962099,0.000231878517042961,0.000543976072476355,0.000781901205478219,0.00201414112236066,0.00262522628089829,6.57950696227753e-05,0.000286483523773374,7.35421741597682e-05,0.000193948356083963,0.000313775196852593,0.000149163082588029,0.000302551167535516,0.00399688657075279,0.00364464052701015,0.00137114936885086,0.00320981100272516,0.00134814405064163,0.00022043217358071,0.000209174624692014,2.06826528662468e-05,2.64146748356111e-05,0.000539830984580733,0.00129831710652524,0.00389790879023729,0.000291123048170509,0.000454717956574264,0.00124449910902564,0.00154988207134449,0.000240585603137103,0.000154291260294683,0.000205111704487982,0.000173438527708834,8.33355997057139e-05,0.000652011379383743,0.00106411363957285,0.00216572949267404,0.000680896064301745,0.000611126362471553,0.000309090126816769,8.50088304900592e-05,0.000256587448736297,8.82015535606497e-05,0.000120265823155319,0.00470861184165187,0.000371357670606196,0.00173081223241257,0.00094286069383685,0.00024243300637737,0.000242727139665769
"TLML_22_RNA_infusion_2014_9",0.109759730494335,0.00709274760658255,0.000204813298102078,0.935306014122566,0.0304381091400027,0.00432376135826843,0.00600674620462283,0.00482132051248943,1,0.0092526407223944,0.00664106057900218,0.0027485356106097,0.0014926381724018,8.29914370713348e-05,9.63790908562898e-05,0.000120509866006778,0.000199219650706092,0.000115975564584469,5.10414197849386e-05,5.99206944629263e-05,0.000199269735896196,0.000240879055508312,5.44279806749199e-05,7.42610756133387e-05,0.000608087675940564,3.8690648620738e-05,0.000162648607613744,0.000196964812794282,2.14797691781753e-05,2.33657059543097e-05,7.49388041215234e-05,9.64831030515731e-06,0.000114481627042459,0.000110911260083579,8.92836698669848e-05,2.24003977905856e-05,3.18592700124741e-05,4.690231345525e-05,7.1704846376267e-05,3.44560393370159e-05,6.38791445176935e-05,4.58341651937663e-05,4.19465473424966e-05,0.000526239514331374,3.49343979214922e-05,4.75182275992197e-05,2.38575929175006e-05,5.30041717298093e-05,7.66132321119249e-05,0.000214129937258614,0.0002591342267787,2.00798108541904e-05,3.87399374854899e-05,1.42981664843028e-05,3.51908958564441e-05,5.62640523812843e-05,2.65534677992084e-05,6.7090365295881e-05,0.000738384502132795,0.000591052546984328,0.000240435302703492,0.000466203243888324,0.000100815339695099,6.1309170631527e-05,5.64661881951872e-05,5.67655798540568e-06,1.73539165152089e-06,3.90480438518916e-05,0.000115825351510375,0.00059036856421456,7.0877898692132e-05,6.48342392733098e-05,0.000179017157456313,0.000147771123913714,4.85024343601761e-05,2.67311470441508e-05,3.37886170202209e-05,4.25349198503237e-05,4.77141444144865e-07,4.71915362230165e-05,9.45471263913139e-05,0.000204464570172431,0.000141042710481918,8.21392783607692e-05,3.77723708824649e-05,2.10837085350193e-05,5.90489919487512e-05,1.73255337712254e-05,1.78626537681004e-05,0.000587238245167779,3.89682705225152e-05,0.000164750126315621,0.000261610808478189,2.9272501605485e-05,3.95396600303194e-05
"TLML_22_RNA_4W_2015_1",0.00206487853041484,0.91978191192304,0.00229657777233015,0.0061286315066067,0.925663308207082,0.955933062432635,0.973567828942352,0.950194905768812,0.0092526407223944,1,0.99442498176959,0.987046125578436,0.97190247382915,0.000135360075599338,0.000147252544271197,0.000200416170046948,0.00033181474095833,0.000193282612933309,8.50856564300756e-05,9.99522914556804e-05,0.000301216705859376,0.000395231907402672,9.08730087201404e-05,0.000122665850941948,0.000760337738669501,6.43696963416258e-05,0.000270719537872482,5.06474632710916e-05,2.92716869498327e-05,2.87693380101559e-05,0.000124031490916115,1.60824445983352e-05,0.000190801700380487,0.000184544375828625,0.000148963164309642,3.70200408465709e-05,4.37269492946783e-05,7.76626590138113e-05,0.00960157481120745,5.70918230628129e-05,0.000106047255093268,7.65261074366031e-05,3.28080885227988e-05,0.000874674739401815,5.95842786722372e-05,7.92427061859866e-05,3.97114619163664e-05,8.84171165045948e-05,0.000128379722977191,0.000356675365882899,0.000432218556787599,3.69916334519585e-05,6.57715258977165e-05,2.37988850365054e-05,5.78676842638411e-05,9.30298755504277e-05,3.15997371098569e-05,0.000111186844750727,0.00122904661950161,0.000983925585314183,0.000400088355676551,0.000776468074276477,0.000169249873549694,0.000100491663351406,9.36343778319974e-05,9.40638198453671e-06,1.14246562893632e-05,3.07833398973241e-06,0.000289159569749636,0.000978553628095306,4.01567802975013e-05,0.000547951737280182,0.000287157707822309,4.8341813448585e-07,0.000109645664462766,2.92937195979145e-05,0.00087339000844049,2.90524269918514e-05,0.000333157248063857,7.87912539160681e-05,0.000149633440639495,0.000339739498840577,0.000206219953009205,0.000131955424755505,5.77052928858774e-05,3.94821269361905e-05,9.14765052206263e-05,2.8795338558062e-05,2.79352832523208e-05,0.000822564478504062,6.74150076328585e-05,0.000274832923630348,0.000434053838432713,5.17987222976935e-05,7.19250200534207e-05
