"","TLML_22_cfDNA_baseline_2014_12","TLML_22_cfDNA_4W_2015_1","TLML_22_DNA_baseline_2014_12","TLML_22_DNA_infusion_2014_9","TLML_22_DNA_4W_2015_1","TLML_22_DNA_FU_01_2015_2","TLML_22_DNA_FU_02_2015_3","TLML_22_DNA_FU_03_2015_4","TLML_22_RNA_infusion_2014_9","TLML_22_RNA_4W_2015_1","TLML_22_RNA_FU_01_2015_2","TLML_22_RNA_FU_02_2015_3","TLML_22_RNA_FU_03_2015_4","TLML_26_cfDNA_baseline_2015_1","TLML_26_cfDNA_4W_2015_3","TLML_26_DNA_baseline_2014_11","TLML_26_DNA_infusion_2014_6","TLML_26_DNA_4W_2015_3","TLML_26_DNA_FU_01_2015_7","TLML_26_DNA_FU_02_2015_9","TLML_26_RNA_baseline_2015_1","TLML_26_RNA_4W_2015_3","TLML_29_cfDNA_baseline_2016_1","TLML_29_cfDNA_4W_2016_2","TLML_29_DNA_baseline_2016_1","TLML_29_DNA_infusion_2015_10","TLML_29_DNA_4W_2016_2","TLML_29_RNA_baseline_2016_1","TLML_29_RNA_infusion_2015_10","TLML_29_RNA_4W_2016_2","TLML_1_DNA_baseline_2013_9","TLML_1_DNA_infusion_2013_8","TLML_1_DNA_FU_01_2014_1","TLML_1_DNA_FU_02_2014_4","TLML_1_DNA_FU_03_2014_7","TLML_1_RNA_4W_2013_11","TLML_1_RNA_FU_07_2015_2","TLML_1_RNA_FU_10_2015_6","TLML_1_RNA_FU_12_2015_10","TLML_1_RNA_FU_13_2015_11","TLML_1_RNA_FU_16_2016_6","TLML_16_cfDNA_baseline_2015_1","TLML_16_cfDNA_4W_2015_2","TLML_16_DNA_baseline_2015_1","TLML_16_DNA_infusion_2014_4","TLML_16_DNA_4W_2015_2","TLML_16_DNA_FU_01_2015_3","TLML_16_DNA_FU_02_2015_5","TLML_16_DNA_FU_03_2015_6","TLML_16_DNA_FU_04_2015_7","TLML_16_DNA_FU_05_2015_9","TLML_16_RNA_baseline_2015_1","TLML_16_RNA_infusion_2014_4","TLML_16_RNA_FU_01_2015_3","TLML_16_RNA_FU_02_2015_5","TLML_16_RNA_FU_03_2015_6","TLML_16_RNA_FU_04_2015_7","TLML_16_RNA_FU_05_2015_9","TLML_7_DNA_baseline_2014_3","TLML_7_DNA_infusion_2014_2","TLML_7_DNA_4W_2014_4","TLML_7_DNA_12W_2014_6","TLML_7_DNA_17W_2014_7","TLML_7_RNA_baseline_2014_3","TLML_7_RNA_infusion_2014_2","TLML_7_RNA_4W_2014_4","TLML_7_RNA_12W_2014_6","TLML_20_cfDNA_baseline_2015_1","TLML_20_cfDNA_4W_2015_2","TLML_20_DNA_baseline_2015_1","TLML_20_DNA_infusion_2014_7","TLML_20_DNA_4W_2015_2","TLML_20_DNA_FU_01_2015_3","TLML_20_DNA_FU_02_2015_6","TLML_20_RNA_baseline_2015_1","TLML_20_RNA_infusion_2014_7","TLML_20_RNA_4W_2015_2","TLML_20_RNA_FU_01_2015_3","TLML_20_RNA_FU_02_2015_6","TLML_4_cfDNA_baseline_2015_10","TLML_4_cfDNA_4W_2014_12","TLML_4_DNA_baseline_2014_11","TLML_4_DNA_infusion_2013_11","TLML_4_DNA_4W_2014_12","TLML_4_DNA_FU_01_2015_1","TLML_4_RNA_baseline_2015_10","TLML_4_RNA_infusion_2013_11","TLML_4_RNA_4W_2014_12","TLML_4_RNA_FU_01_2015_1","TLML_18_DNA_baseline_2014_8","TLML_18_DNA_infusion_2014_6","TLML_18_DNA_4W_2014_9","TLML_18_RNA_baseline_2014_8","TLML_18_RNA_infusion_2014_6","TLML_18_RNA_4W_2014_9"
"TLML_22_cfDNA_baseline_2014_12",1,0.0685703987960005,0.0564639826917778,0.231459898039791,0.108562670351059,0.0554755531590126,0.0511560448922194,0.0582556657710366,0.237297604919835,0.0496796882632519,0.0350304669271853,0.0222535806293199,0.0212666604612054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065244424731968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96433236665224e-05,0,0,0,0,0.000668548340132655,0,0,0,0,0,0,0,0,0,0.000632627945115002,0,0,0,0.000100083884772356,0,0,0,0.000270186052279783,0,0,0.000290787311292276,0.00122513652374432,0,0,0,0,0,0,0,0,0,0,0,3.97116124963648e-05,0,0,7.31577313873582e-05,0.000156438587305206
"TLML_22_cfDNA_4W_2015_1",0.0685703987960005,1,0.0541877891855898,0.0788926172503997,0.911798827668044,0.954070274888074,0.95805917101347,0.933235548744149,0.0852839983256453,0.955177636702362,0.926409637720795,0.876225570143503,0.882702533194647,0,0,0,0,0,0,0,4.40067449477329e-06,0,0,0,0.00151611447945054,0,0,0.00420268431823269,0.000473828274378686,0.000562617433595809,6.7418426136973e-05,0,0,0,0,8.98687998311475e-06,0.000456118051204435,0,0.0348113435439414,1.31973179331295e-05,0,0,0,0,0,0,0,0,0,0,0,6.82833802363833e-06,0,0,3.41640441723072e-05,0,0.00218593653476272,0,0,0,0,0,0,6.47544418737909e-05,0,2.80290846254505e-06,0.000130571174592156,0,0,0,0.00245065652372633,9.79757990578405e-05,4.87368656234826e-05,0,7.44286520005054e-05,0,0,0.000950561810331755,0.000216375129191006,0,0,0,0.00021354522240973,0.000502993921933129,0.00344091104933987,0,9.44653963836098e-05,1.44787325856631e-05,0.00176222224296589,0.000986933292943368,1.12954966750967e-05,0,9.09443115037831e-06,1.96043053893624e-05,3.19562034957816e-05
"TLML_22_DNA_baseline_2014_12",0.0564639826917778,0.0541877891855898,1,0.00429694175227504,0.0685207868084389,0.0573080874978865,0.0452999453472736,0.0489941563489301,0.0025168475019213,0.0359863194404212,0.0311169234133397,0.0194345836978864,0.0191343629888108,0,0,4.14046157516365e-05,0,0,0,0,0.000366340361090327,4.62122364400172e-06,0,0,0.00403936443777396,0,0,0.00234185898526456,6.40855973771438e-06,2.77654051163944e-05,0.000164107538290571,0,0,0,0,0.000127772518414713,7.92347548487899e-05,3.12191229480806e-05,0.00207811109490319,0.000418007675953353,0.000364057278463391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000185519796616467,0,0.000124163657347781,0,4.64515952223537e-05,0.000241333328195535,0,0,0,0.000367934327283751,0,0,5.00107761443003e-06,0.000424497526413278,0,0,0.000290008724264021,1.27625443441828e-05,8.06738491254687e-05,9.24172009273545e-06,0.000566274974798518,0,0,3.35537076579423e-05,1.21326552783863e-05,0,0.000357619771850234,2.89932926681391e-05,2.31902227483725e-06,0.000822259221222296,0.000450196935138183,7.29863288738957e-05,2.95755643557336e-06,0.000636103595702059,0.000198763380604736,3.53272094022521e-05,0,0,6.16289161025853e-05,0,0
"TLML_22_DNA_infusion_2014_9",0.231459898039791,0.0788926172503997,0.00429694175227504,1,0.13675553483212,0.059619612305683,0.0681221943032453,0.0604422509680885,0.948757705184441,0.0831495745493901,0.0692431088720721,0.0436273494611431,0.0335718652892511,0,0,4.11708187967749e-06,0,0,0,0,3.07175485027944e-07,0,0,0,6.97859569809615e-06,2.27197187741072e-06,0,0.000626257656472488,2.86503111069347e-06,2.57850124974747e-06,4.81737352753059e-06,0,5.50612321853579e-06,0,0,1.00123022939456e-06,0.000204597201960585,1.21373053162878e-06,2.12565403175032e-06,4.95521332576639e-06,2.48890961926816e-06,0,0,6.69558604262735e-06,2.56831896931487e-07,2.6045453653102e-06,0,0,1.89792264556602e-05,0,0,0.000257393771696073,0,0,8.91012686252013e-07,0,0.00089006966134489,3.76165146385121e-06,7.32194848629305e-07,0,0,0,0,6.95162637415459e-06,1.22559274690565e-07,2.140323005557e-06,0.000856404517786565,0,0,0,8.06842181360546e-06,2.32272161412475e-05,1.24698225954402e-06,0.00143144372218101,0.000267532824743328,0,0,0.000506033856823474,0.00216905742470271,0,0,0,9.03469292579474e-06,3.4894862185978e-05,1.01691250368435e-05,0.000145130685413813,5.37244606607662e-06,1.51501347304656e-06,5.37126905445482e-06,3.39398350986775e-08,0.000120019238420141,0,6.06424214508492e-07,0.000145965754777677,0.000222970912963648
"TLML_22_DNA_4W_2015_1",0.108562670351059,0.911798827668044,0.0685207868084389,0.13675553483212,1,0.952156953598786,0.942304018111963,0.947349358190538,0.146810506676028,0.88384225571749,0.822182519769085,0.733165264137037,0.741560292644251,0,7.89871029263909e-05,6.31182709718097e-05,0,0,0,0,3.44421007164462e-05,0,0,0,0.0019163864936774,0.000858931031930663,0,0.00589543625734224,0.000876193794934003,0.000692725248990357,4.5440506957352e-05,0,0.000120017991470245,0.000371885158694009,8.48898428241855e-06,0.000545224930787457,0.000757141935540978,0.000165754454408221,0.0450203650143883,7.22734312081305e-05,0.000181888991061043,0,0,8.33680368440319e-05,1.15458281963181e-06,0,0,0,4.75399780033209e-05,0,0,0.000362649998060284,0,0,7.13934936320585e-05,1.04412646195765e-05,0.00269967523746587,8.48852489866291e-07,0,0,0,0,0,3.79500240591722e-05,0,2.17884741760536e-05,0.000355363348697509,0,0.00234808501358087,4.45275237878112e-05,0.00404512089715456,0.0030003870914625,0.000154630570641115,0.00176409973012501,0.000240868483896185,0.00081803356752521,0.00253440769713746,0.00148861814992252,0.00250859926774613,0,7.71433653093887e-07,4.6754067287947e-05,0.00119199465296694,0.00027927400610617,0.00165270627080634,1.14589644957526e-05,0.00051069881854223,1.69210671396889e-05,0.000793290572178654,0.00125445982630313,2.34683028818866e-05,0,1.56400360313011e-05,4.21714255513855e-05,8.25353931771041e-05
"TLML_22_DNA_FU_01_2015_2",0.0554755531590126,0.954070274888074,0.0573080874978865,0.059619612305683,0.952156953598786,1,0.985463257070679,0.967082629911884,0.0650374511633839,0.957249732749329,0.918333731882242,0.84778769248854,0.854572090570316,0,0,4.2434548569432e-05,0,0,0,0,1.50884207372579e-05,0,0,0,0.0016772162225862,5.61022880955493e-08,0,0.00475176589260324,0.000497894478189099,0.000617214021100955,4.10838713301782e-06,8.23892756465882e-05,2.10850801174271e-05,2.03607598751128e-05,1.05030489352988e-05,2.21266347947747e-05,0.000536463059335494,3.47303788013475e-05,0.038976084689689,3.50721173111028e-05,1.52271026190828e-05,0,1.52893914458658e-05,8.74361672402132e-07,3.42582023603991e-05,0,0,0,4.86130079854014e-05,0,0,3.10616534377428e-06,6.03092543911239e-05,9.69774958865007e-07,5.76180881532356e-05,6.41206664265345e-06,0.00232463454296317,6.73519642823012e-07,0,0,0,3.09651149185653e-06,0,3.55118443992862e-05,6.53442415404391e-07,6.55743159763334e-06,0.000128989894934625,0,0,0,0.00283993898697661,0.000136958991020591,5.16384803978157e-06,0,8.77043083800594e-05,3.09659047311325e-06,8.79747413045239e-07,0.00104812595806743,0.000192647447406112,0,0,0.000135350727295858,0.000765706049403963,0.000271741624544026,0.000436223901235869,1.96531563915387e-06,0.000335177393851458,4.5719973921039e-06,0.000218230785476006,0.00109961934917474,1.27296656655778e-05,0,1.00825515726155e-05,1.84410377266037e-05,2.77075248766604e-05
"TLML_22_DNA_FU_02_2015_3",0.0511560448922194,0.95805917101347,0.0452999453472736,0.0681221943032453,0.942304018111963,0.985463257070679,1,0.970940075565785,0.0760471068866305,0.971723453122843,0.936529097434344,0.872221980043188,0.879484511453242,0,0,6.09570423394154e-05,2.05230916188724e-06,0,0,0,2.0442693269632e-05,0,0,0,0.0016898761746034,0,0,0.00465405270094372,0.00050428533046524,0.000612562208546559,1.14487537408246e-05,3.35563082120417e-08,1.00539139285742e-05,8.54791607605184e-06,3.12872450538556e-06,1.40035471850193e-05,0.000516504770222441,5.73450393907968e-06,0.0386220996246373,2.32479145436552e-05,5.96004661326728e-06,0,0,7.01762774392699e-05,0,0,0,0,4.24578096782802e-06,0,0,0.000323801300229443,0,0,6.84717878691755e-05,0,0.00235981727923278,4.65324499099557e-06,9.58219509172487e-07,1.55783023514858e-05,3.2366760254479e-06,1.37468038575268e-05,0,4.61320930925561e-05,3.73785004005931e-05,3.53915930039302e-07,0.000131046150040063,0,0,3.0152607647692e-06,0.00268363900184214,0.000177001050462716,2.19675072054797e-05,0,0.000103048973980661,0,0,0.00104978250887514,0.000221505681906315,0,0,0.000154795425368904,0.000871426509865895,0.000344589304106584,0.00041504862942775,1.63081940267541e-05,0.000382181887302306,7.56551449895319e-06,0.000207864712837291,0.00109538376517543,1.02183156517631e-05,0,1.04578678673087e-05,1.88951801098593e-05,3.19970465214281e-05
"TLML_22_DNA_FU_03_2015_4",0.0582556657710366,0.933235548744149,0.0489941563489301,0.0604422509680885,0.947349358190538,0.967082629911884,0.970940075565785,1,0.0657507444350926,0.936037340800817,0.88894087850741,0.816861061639301,0.839404410861274,0,0,2.60043265646585e-05,0,0,0,0,1.13863216090983e-05,5.95093469334184e-07,0,0,0.00177274279185268,1.03227704378992e-08,0,0.00513108921516059,0.000515297481515323,0.000657857444581509,7.62767640209217e-05,0,0,0,1.07483214214327e-05,7.50807501979716e-06,0.000544501835946719,0,0.0423920621422677,1.31899047223597e-05,3.60541944056213e-06,0,0,0.00012589461298502,0,0,0,0,2.73746798335745e-05,0,0,0.000565346431812423,0,0,2.65174890760377e-05,1.54286888312626e-06,0.00247492748224154,0,0,0,0,0,0,5.38687249210674e-05,2.67817161245519e-05,7.18779081799965e-06,0.000136104213796356,4.9354430691526e-05,2.19414976211019e-05,9.53899289129396e-06,0.00285726084799268,0.000166606766113788,0.000166553352367959,1.89829510221239e-05,0.000122991448097436,0,5.30654804170148e-05,0.00115149501733501,0.000235582042468789,0,3.32767133115267e-05,0,0.000340712432101003,0.000364288631256084,0.000175479746399096,7.14897916211885e-06,0.000145416650724414,6.3691528811202e-05,8.68604272977737e-05,0.00119219834818921,9.63328200292063e-06,0,1.43670592803393e-06,1.69012484904309e-05,3.40989857421175e-05
"TLML_22_RNA_infusion_2014_9",0.237297604919835,0.0852839983256453,0.0025168475019213,0.948757705184441,0.146810506676028,0.0650374511633839,0.0760471068866305,0.0657507444350926,1,0.0965732103301728,0.0838457275540301,0.0547530070611906,0.0414268079098404,0,0,9.75038419721759e-07,4.81355363492683e-07,0,0,0,4.98740947071958e-07,0,0,0,6.11144799895997e-06,0,6.80741991616981e-08,0.000624720615710272,7.9732232672611e-07,6.84241430708168e-07,1.0289772552763e-05,0,0,1.40851336069857e-07,0,8.10639253426273e-07,0.000108590690173501,2.5435373128631e-06,2.84657541233403e-05,6.06169411524976e-06,7.54668436389073e-07,0,0,0,6.19619792773161e-05,7.23422709562976e-06,1.50973716430745e-06,0,2.27999638647187e-05,6.26383524915723e-07,0,0.000120845366165649,5.16437051932663e-05,8.98551117238387e-07,5.93432985500115e-07,8.27484646878853e-07,0.000927637521386996,2.32435233771602e-06,1.89341302379414e-07,0,1.51257832362473e-06,0,2.32792619215262e-05,2.57258973860791e-06,4.33997836041419e-07,1.21840623113522e-06,0.000888990437222047,0,0,0,8.89163270389225e-06,3.21334864431681e-05,7.75931267976392e-07,0.00101346173529703,0.00026528979027297,0,0,0.000407582549095327,0.0020014259799483,0,0,1.05517596450822e-05,1.10233303695168e-06,1.0112328126851e-05,3.62027721017373e-06,0.000100215794705637,3.73115186877896e-07,4.78888199617326e-07,1.98595051133089e-06,1.75188927626693e-06,0.000113068627671912,0,4.94465936171849e-07,0.000165032571779351,0.000234411593501012
"TLML_22_RNA_4W_2015_1",0.0496796882632519,0.955177636702362,0.0359863194404212,0.0831495745493901,0.88384225571749,0.957249732749329,0.971723453122843,0.936037340800817,0.0965732103301728,1,0.987234428794244,0.945965393925638,0.948849658520928,0.000135451358556177,0.000514047567966515,1.29790834846399e-05,7.17252483634701e-07,0,0,0,0.00012065302633659,0.000105941818415055,0,6.45326876090351e-05,0.00143420183922551,3.20555842523234e-06,0,0.0039969203458423,0.000492709442578685,0.000550387089524119,4.3924810582994e-05,0,0,0,2.25914639227641e-06,9.02285233233293e-06,0.000445343247395049,1.00166186324615e-05,0.033429207257392,1.27836595938952e-05,5.57073287633002e-07,0,0.00262530919908613,1.37856263105776e-05,1.64539333797614e-07,0,0,0,3.68283342826153e-06,0,0,6.18077938052342e-05,0,2.03059352579677e-07,4.16521199489627e-05,2.14386113662182e-05,0.00218560559651314,1.1024090128051e-05,1.25388454017728e-06,0,0,0,1.77060759032554e-06,2.26844553230468e-05,3.52366739230811e-06,5.12311567869893e-06,0.000144347080238944,0.0097560142828379,0.0260612657224209,3.82659002774367e-05,0.00327672493870914,0.0279444666632546,0.000222206416475238,0.010029162466846,0.000122280408395254,0.00121675664164892,0.0336316394261879,0.00179258061533816,0.0148776155582111,0,0.000301774503092592,4.09964550386266e-05,0.00042565142906554,0.000178145319454089,0.000332126239435915,3.3498686576852e-06,0.000188624430391114,1.49202757369277e-06,0.000173752889495802,0.000950171425330066,1.23446935260116e-05,0,3.05860237655143e-06,2.26250224175428e-05,9.02031357027801e-05
